VaR,Loss
-1385.879,-2573.300
-1330.919,-2205.800
-1521.371,-2165.800
-1533.876,-2075.750
-1543.927,-2015.650
-1584.041,-1920.650
-1699.300,-1744.250
-1804.387,-1668.750
-1804.637,1181.150
-2798.158,3453.700
-3600.182,3258.700
-3700.244,3318.700
-3730.277,3408.700
-3765.312,3413.700
-3785.324,3409.200
-3795.326,3472.300
-3863.199,3457.300
-3875.706,3507.250
-3900.723,3579.650
-3908.124,4174.300
-4474.086,4150.450
-4727.494,3860.450
-4253.343,3827.950
-4258.344,3831.550
-4234.474,3623.550
-4349.511,3773.550
-4399.549,3928.550
-4489.691,4008.550
-4549.713,4056.050
-4544.714,4126.050
-4584.773,4366.050
-4619.794,4570.700
-4654.467,4800.700
-4704.498,4305.700
-4510.020,4505.700
-4525.024,4548.200
-4557.549,4538.200
-4557.555,4535.700
-4557.590,4565.700
-4557.588,4398.200
-4557.400,4330.700
-4557.381,4340.700
-4557.416,4345.700
-4557.504,4510.700
-4557.440,4115.850
-4557.171,4040.850
-4557.178,3953.850
-4557.134,2978.850
-4556.167,2938.850
-4556.155,3128.850
-4556.135,3308.850
-4555.954,3103.850
-4555.882,3101.350
-4555.890,3168.750
-4555.912,3183.550
-4555.949,3128.550
-4556.220,3098.550
-4556.344,3133.300
-4556.344,3258.700
-4559.094,3720.100
-4561.531,3725.100
-4561.607,3695.100
-4561.617,3673.850
-4561.616,3638.850
-4561.604,3611.050
-4561.690,3612.300
-4561.706,3632.300
-4561.767,3622.500
-4561.767,2658.200
-4559.910,2440.400
-4560.079,2565.400
-4561.331,2578.200
-4561.360,2933.200
-4561.658,2858.200
-4561.620,2828.200
-4561.809,2753.200
-4561.798,2773.200
-4561.793,2743.200
-4561.823,2848.200
-4561.986,2814.700
-4561.988,2739.700
-4563.434,2774.700
-4563.461,2779.700
-4563.519,2852.200
-4563.502,2834.700
-4563.524,2974.650
-4563.509,3134.650
-4563.737,3232.150
-4563.808,3262.150
-4563.869,3234.650
-4563.929,3537.150
-4563.699,4204.650
-4564.536,4384.650
-4564.799,4510.650
-4564.833,5230.650
-4567.531,5225.650
-4567.508,5000.650
-4567.512,4915.650
-4567.454,4915.650
-4567.383,4880.650
-4567.363,4815.700
-4567.366,4775.800
-4567.376,4705.800
-4567.331,4780.800
-4567.579,4820.800
-4567.579,4083.100
-4568.514,3090.450
-4569.035,2998.000
-4569.045,3010.500
-4569.148,3010.500
-4569.158,3038.000
-4569.190,3048.000
-4569.183,3018.000
-4569.204,3050.500
-4569.257,3008.650
-4569.261,3001.100
-4569.260,4120.750
-4572.604,4220.750
-4573.253,5610.750
-5096.596,5625.750
-4569.536,5711.850
-5171.898,5039.350
-4969.511,5124.350
-5029.566,5109.350
-5074.601,5204.350
-5154.640,5224.350
-5189.674,5244.350
-5219.708,5039.350
-5154.778,5157.400
-5274.255,5362.400
-4569.989,5867.400
-5510.020,5807.400
-5500.022,5759.900
-5490.024,5799.900
-5490.243,5844.900
-5490.276,5730.000
-5490.424,5617.500
-5490.364,5500.000
-5490.304,5335.000
-5490.112,5470.000
-5490.256,5275.000
-5491.341,5020.000
-5492.240,5035.000
-5492.897,5025.000
-5492.993,5050.000
-5492.983,5030.000
-5493.035,5058.150
-5493.106,5088.150
-5493.121,5053.150
-5493.116,5107.400
-5493.099,5002.400
-5493.205,4957.400
-5493.268,4699.900
-5493.383,4669.900
-5493.539,4659.950
-5491.139,4659.950
-5491.302,4649.950
-5491.301,4603.700
-5491.269,4648.700
-5491.249,4617.450
-5491.311,4621.150
-5491.312,4671.050
-5491.307,4261.050
-5493.139,4076.050
-5493.011,3161.050
-5493.991,3166.050
-5519.006,3101.050
-5519.086,3143.550
-5519.265,3053.550
-5519.210,3038.550
-5519.257,2983.550
-5519.281,2923.550
-5519.233,2878.550
-5519.199,2978.550
-5519.124,2993.500
-5519.749,2629.750
-5411.144,2384.750
-5411.079,2404.750
-5411.075,2469.750
-5411.049,2349.750
-5410.992,2274.650
-5410.990,2229.600
-5411.005,2179.600
-5410.826,2249.600
-5410.871,2314.600
-5410.810,2042.100
-5410.751,1562.100
-5409.520,1467.100
-5410.078,1197.100
-5409.848,1177.100
-5409.901,234.600
-5408.488,217.100
-5408.489,337.100
-5408.438,315.800
-5408.487,360.800
-5408.476,390.800
-5408.468,345.800
-5408.467,385.800
-5408.472,352.300
-5408.468,322.300
-5408.503,279.800
-5408.477,614.800
-5408.906,714.800
-5409.126,672.300
-5409.143,667.400
-5409.140,645.200
-5409.136,635.200
-5409.157,608.350
-5409.154,678.400
-5409.138,-200.300
-5405.777,-505.100
-5404.870,-295.100
-5407.496,-325.100
-5407.490,-330.100
-5407.530,-187.600
-5407.550,-97.600
-5407.659,-147.600
-5407.628,-147.600
-5407.653,-142.600
-5407.630,-237.600
-5407.759,-340.900
-5407.903,-243.400
-5407.933,-308.400
-5407.445,-340.900
-5407.434,-335.900
-5407.388,-310.700
-5407.399,-338.200
-5407.332,-303.200
-5407.236,-378.200
-5407.169,-308.200
-5407.250,-203.200
-5407.268,-133.200
-5406.376,-660.700
-5405.036,-550.700
-5405.167,-558.200
-5405.205,-203.200
-5405.008,-208.200
-5405.013,-348.200
-5405.081,-410.050
-5405.065,-625.050
-5405.135,-652.800
-5405.172,-685.300
-5405.160,-795.300
-5405.137,-816.050
-5405.141,-866.050
-5405.059,-821.050
-5405.128,-1343.550
-5405.067,-1648.550
-5405.089,-1566.300
-5405.087,-1575.800
-5405.072,-1596.000
-5405.063,-1606.000
-5405.016,-1611.000
-5404.999,-1599.100
-5404.999,-1655.200
-5404.785,-1620.200
-5404.788,-1720.200
-5404.787,-1467.800
-5402.917,-1158.200
-5402.802,-1303.200
-5404.291,-1308.200
-5404.279,-1310.100
-5404.304,-1055.100
-5404.039,-1080.100
-5404.103,-1065.100
-5404.142,-1000.100
-5404.220,-995.100
-5404.209,-780.100
-5403.876,-861.450
-5403.640,-777.700
-5403.447,-637.700
-5403.870,-697.700
-5403.888,-722.700
-5403.889,-697.700
-5403.900,-652.800
-5403.931,-615.300
-5403.976,-600.300
-5403.916,-565.300
-5403.901,-620.300
-5403.870,-585.300
-5403.915,-330.300
-5404.253,427.200
-5405.637,402.250
-5405.622,522.250
-5405.836,544.750
-5405.826,579.750
-5405.864,494.750
-5405.759,784.750
-5405.720,812.750
-5405.711,857.750
-5405.715,1012.750
-5405.731,1002.750
-5405.739,1152.750
-5406.009,1170.250
-5406.115,1805.250
-5406.650,2510.250
-5407.129,2335.400
-5407.132,2344.300
-5407.147,2394.400
-5407.153,2444.400
-5407.184,2414.400
-5407.187,2452.200
-5407.199,2504.400
-5407.204,2509.400
-5407.207,2606.900
-5407.192,3148.200
-5408.522,3245.900
-5408.656,2585.900
-5404.972,2628.450
-5405.010,2622.250
-5404.985,1867.250
-5405.563,1802.250
-5405.508,1857.000
-5405.563,1832.000
-5405.577,1842.000
-5405.674,1842.000
-5405.663,1667.000
-5405.706,1788.000
