VaR,Loss
-2496.433,-456.450
-2337.744,-476.450
-2330.143,-474.750
-2321.285,-254.750
-2316.430,-208.100
-2332.046,-293.100
-2314.109,-213.100
-2357.677,-363.100
-2342.332,-343.100
-2352.983,-269.750
-2370.253,-307.250
-2391.995,-292.250
-2397.055,-162.050
-2412.347,-526.050
-2340.487,-845.550
-2266.768,-640.550
-2265.565,-700.550
-2278.659,-665.550
-2281.603,-820.550
-2222.428,-790.550
-2231.580,-805.550
-2224.966,-759.550
-2264.806,-1564.500
-2042.739,-1608.950
-2034.157,-1299.350
-2048.905,-1406.750
-2032.235,-1486.750
-1991.202,-981.750
-1609.728,-1061.750
-1559.836,-1191.750
-1540.003,-1256.750
-1518.593,-1314.250
-1498.574,-1334.250
-1501.564,-1499.250
-1470.705,-1494.250
-1463.273,-1364.250
-1493.992,-1298.250
-1472.145,-1277.000
-1494.790,-1282.000
-1500.526,-1417.000
-1458.271,-1442.000
-1453.236,-1562.700
-1413.491,-1567.700
-1399.495,-1512.150
-1400.871,-1382.650
-1461.394,-1722.650
-1439.529,-1787.650
-1346.188,-1717.650
-1370.424,-1722.650
-1365.278,-1522.650
-1451.134,-1565.950
-1449.021,-1625.950
-1431.407,-1980.950
-1371.344,-2030.450
-1338.776,-2045.600
-1339.802,-2102.600
-1325.071,-2287.600
-1290.740,-2251.050
-1316.488,-2364.450
-1303.693,-2344.550
-1325.359,-2656.550
-1294.072,-3108.050
-1216.991,-2940.550
-1324.123,-2955.550
-1316.353,-2985.550
-1299.290,-3005.550
-1316.438,-2965.550
-1280.536,-3030.550
-1277.253,-3013.050
-1283.696,-2995.050
-1306.818,-3115.050
-1334.602,-1880.150
-1619.455,-1610.150
-1746.588,-1417.850
-1870.812,-1366.650
-1853.242,-1324.650
-1849.148,-1214.250
-1720.967,-1154.250
-1747.419,-1059.250
-1766.217,-999.250
-1761.117,-984.250
-1765.613,-1028.750
-1718.612,-1028.750
-1706.502,-903.750
-1782.514,-910.750
-1776.287,-923.250
-1786.457,-893.250
-1794.788,-788.250
-1786.250,-788.250
-1800.274,-636.850
-1793.116,-626.850
-1785.556,-716.050
-1786.379,-586.050
-1816.104,-412.050
-1888.817,-262.050
-1905.254,172.950
-1856.519,257.950
-1881.983,97.950
-1849.625,-162.050
-1819.304,-162.900
-1812.437,-77.900
-1822.082,182.100
-1838.134,221.100
-1830.954,186.400
-1826.297,221.400
-1831.562,493.900
-1834.912,487.150
-1832.334,528.950
-1803.253,457.700
-1771.417,518.700
-1722.722,1003.700
-1641.800,848.700
-1654.626,858.700
-1641.902,891.200
-1627.808,921.200
-1619.639,916.200
-1604.843,921.200
-1609.442,921.200
-1599.099,925.200
-1605.855,1024.200
-1630.321,1968.000
-2136.717,1593.000
-2097.656,1395.850
-2106.405,1370.850
-2108.435,1391.850
-2115.823,1891.150
-2208.024,2001.150
-2234.721,1961.150
-2216.110,1801.150
-2209.971,1806.150
-2211.287,1746.150
-2213.496,1685.150
-2225.828,1695.150
-2243.203,1570.150
-2201.612,1496.150
-2218.478,1551.150
-2247.887,1521.150
-2242.148,1387.950
-2236.802,1417.950
-2235.544,1463.050
-2243.828,1323.050
-2240.245,1105.550
-2277.219,993.050
-2254.718,803.050
-2297.074,558.050
-2304.271,718.050
-2317.844,558.050
-2264.877,553.050
-2273.039,573.050
-2297.549,593.550
-2314.589,605.900
-2318.598,630.900
-2325.677,415.900
-2272.113,444.300
-2294.726,466.800
-2270.427,21.800
-2188.342,-423.200
-2120.724,-405.700
-2105.798,-430.700
-2116.123,-465.700
-2104.223,-490.700
-2102.562,-480.700
-2100.994,-478.200
-2105.592,-480.200
-2102.782,-574.700
-2070.905,-1857.200
-1952.340,-1562.200
-1963.022,-1610.200
-1976.273,-1585.200
-1979.603,-2300.550
-1866.613,-2310.550
-1867.298,-2270.550
-1862.924,-2118.050
-1886.361,-2163.050
-1861.646,-2143.050
-1872.428,-2128.050
-1878.434,-2078.050
-1862.921,-2021.800
-1885.434,-2091.800
-1859.286,-2091.800
-1854.936,-2079.300
-1835.360,-1974.300
-1801.960,-1901.500
-1816.453,-1798.550
-1816.663,-1833.550
-1809.634,-1758.850
-1836.918,-1663.850
-1758.908,-1558.850
-1793.508,-1428.800
-1775.116,-1450.450
-1777.756,-1175.450
-1770.607,-1240.450
-1764.222,-1245.450
-1753.521,-1345.450
-1726.930,-1335.450
-1706.069,-1370.450
-1709.674,-1250.450
-1718.858,-1280.450
-1716.945,-1263.850
-1699.913,-1220.100
-1670.917,-210.100
-1706.180,9.900
-1702.313,94.900
-1713.611,144.900
-1695.730,150.400
-1705.094,160.400
-1694.420,160.400
-1689.241,152.900
-1685.303,487.900
-1775.692,811.650
-1731.177,789.450
-1736.484,958.450
-1739.334,943.450
-1727.088,925.450
-1725.061,1386.850
-1803.518,1476.850
-1816.984,1463.850
-1845.437,1398.850
-1834.569,1438.100
-1844.921,1633.600
-1844.988,1738.600
-1887.776,1748.600
-1889.310,1663.600
-1912.491,1708.600
-1909.045,1699.850
-1902.308,1744.850
-1912.899,1729.850
-1903.197,1669.250
-1905.131,1549.350
-1879.452,1417.450
-1895.401,1407.450
-1871.088,1214.950
-1823.458,1137.350
-1820.742,1203.150
-1800.053,1103.150
-1788.288,1108.150
-1786.978,1163.150
-1799.070,1188.150
-1819.280,1368.150
-1837.704,1375.650
-1857.556,1340.650
-1843.524,1315.650
-1841.628,1230.650
-1839.098,1135.650
-1815.764,275.650
-1726.054,470.650
-1755.829,560.650
-1773.187,568.150
-1773.108,547.150
-1773.792,592.150
-1789.261,617.150
-1767.304,622.150
-1776.593,598.400
-1772.626,158.400
-1743.453,443.400
-1801.485,362.750
-1809.126,372.750
-1807.779,92.050
-1741.954,42.050
-1748.537,8.050
-1725.586,25.550
-1741.096,-7.950
-1739.575,-92.950
-1754.090,-110.450
-1759.683,-100.450
-1747.369,-170.450
-1740.387,-195.450
-1742.495,-182.950
-1753.910,-195.450
-1760.944,-90.450
-1769.554,-63.900
-1782.712,-53.950
-1763.182,86.050
-1788.622,-109.250
-1807.474,80.750
-1822.684,130.750
-1833.403,165.800
-1855.060,181.650
-1854.273,204.150
-1901.135,214.150
-1910.847,289.150
-1926.100,285.900
-1985.206,360.900
-2050.009,400.900
-2041.564,370.900
-2053.038,375.900
-2049.512,488.000
-2086.384,528.000
-2108.361,1143.000
-2172.737,808.000
-2255.598,543.000
-2307.021,548.000
-2313.575,553.000
-2311.652,593.500
-2314.731,548.500
-2312.445,568.500
-2312.287,586.000
-2301.480,576.000
-2301.405,626.000
-2262.294,965.150
-2269.866,958.050
-2270.367,1218.050
-2379.186,1218.050
-2394.991,1218.050
-2415.861,1178.050
-2425.915,1133.050
-2415.065,1145.000
-2427.098,1090.000
-2443.348,1150.950
-2437.786,1180.950
-2435.873,1055.950
-2428.051,1040.950
-2425.479,815.950
-2427.646,745.950
-2406.149,865.950
-2414.519,865.950
-2421.361,837.150
-2414.250,832.150
-2406.590,892.150
-2414.355,882.150
-2413.641,952.150
-2421.050,882.150
-2440.492,1154.650
-2430.735,957.150
-2443.005,1132.150
-2427.266,1099.650
-2427.184,1052.150
-2444.406,687.150
-2440.010,687.150
-2437.391,617.150
-2424.713,558.650
-2369.200,428.650
-2355.270,406.150
-2355.785,386.150
-2316.280,291.150
-2278.675,171.250
-2218.796,191.250
-2190.460,-138.750
-2038.144,-163.750
-1934.317,1.250
-1924.719,8.750
-1920.307,31.250
-1914.214,7.600
-1880.814,97.600
-1896.167,65.100
-1906.066,30.100
-1897.369,61.350
-1907.317,141.350
-1827.392,-376.950
-1684.096,-437.000
-1637.794,-1057.000
-1566.984,-1057.000
-1550.808,-1052.000
-1554.367,-1272.000
-1443.503,-1267.000
-1438.276,-1256.900
-1444.745,-1196.900
-1443.284,-1200.700
-1452.820,-1225.700
-1459.357,-1055.700
-1477.099,-1068.200
-1484.820,-918.200
-1486.397,-825.700
-1495.644,-830.700
-1497.482,-855.700
-1496.921,-815.600
-1499.208,-790.600
-1502.706,-900.600
-1506.000,-876.850
-1501.429,-941.850
-1513.267,-876.850
-1536.746,-931.850
-1541.819,-729.350
-1562.976,-724.350
-1575.762,-629.350
-1554.161,-629.350
-1562.538,-361.850
-1570.395,-456.850
-1572.867,-410.100
-1586.384,-395.100
-1583.265,-357.600
-1590.344,-415.100
-1574.026,-245.100
-1605.153,-210.100
-1602.699,-79.500
-1625.420,-99.550
-1627.105,-54.550
-1650.682,305.450
-1673.718,320.450
-1667.759,320.450
-1665.390,332.750
-1647.870,237.750
-1672.529,257.750
-1660.766,302.750
-1669.653,280.250
-1666.205,339.400
-1625.743,379.400
-1600.686,624.400
-1613.756,1089.400
-1572.701,1089.400
-1567.065,1114.400
-1555.198,1080.650
-1568.283,1100.650
-1564.641,1010.650
-1522.884,1050.650
-1518.355,1075.650
-1532.521,1065.650
-1532.113,1075.650
-1539.958,1100.650
-1533.007,1090.600
-1511.223,1088.100
-1515.493,1093.100
-1488.104,1110.600
-1491.222,1145.600
-1485.161,1205.600
-1449.953,933.100
-1404.872,728.100
-1381.767,619.600
-1376.983,639.600
-1352.531,742.100
-1387.618,749.600
-1391.786,874.600
-1369.932,874.600
-1372.000,829.600
-1378.880,787.100
-1370.475,844.600
-1386.727,732.100
-1381.592,712.100
-1388.664,712.200
-1384.196,684.800
-1374.994,964.800
-1412.304,614.800
-1381.663,464.800
-1366.095,437.400
-1388.290,424.900
-1406.871,421.250
-1412.250,476.250
-1421.440,441.250
-1433.480,341.250
-1388.171,11.250
-1423.567,-183.750
-1436.757,-173.750
-1453.154,-143.800
-1469.471,-173.800
-1459.446,-168.800
-1471.994,-223.800
-1490.253,-221.150
-1508.986,-216.150
-1511.548,-171.150
-1543.773,-176.150
-1551.557,-166.150
-1576.327,-193.650
-1587.312,-201.150
-1588.784,-201.150
-1587.976,-166.150
-1573.712,-191.150
-1575.922,-171.150
-1560.566,-186.150
-1575.821,-181.150
-1585.383,-283.700
-1603.396,-204.450
-1624.572,-71.950
-1628.565,8.000
-1555.111,35.000
-1553.588,15.000
-1575.843,-167.500
-1538.819,-182.500
-1543.063,-257.500
-1538.116,-372.500
-1571.406,-397.500
-1564.207,-380.000
-1569.390,-360.000
-1557.832,-445.000
-1526.569,-420.000
-1538.358,-397.900
-1556.958,-382.950
-1561.820,-432.950
-1575.792,242.000
-1592.855,347.000
-1576.016,366.800
-1575.228,351.800
-1593.744,341.800
-1587.171,331.800
-1582.783,304.300
-1595.450,286.800
-1588.116,316.800
-1584.121,446.800
-1591.108,1106.800
-1583.129,1200.200
-1523.900,777.700
-1566.995,752.700
-1572.118,687.800
-1558.839,377.800
-1641.964,387.800
-1629.012,357.700
-1618.967,317.700
-1623.692,265.350
-1614.951,245.350
-1606.288,230.350
-1609.079,205.350
-1612.558,100.350
-1593.201,107.850
-1607.964,157.850
-1603.433,165.350
-1603.615,74.550
-1593.849,69.550
-1597.935,39.550
-1590.901,54.550
-1595.163,59.650
-1601.599,-123.850
-1585.278,-188.850
-1591.561,-378.750
-1611.812,-427.250
-1599.558,-409.750
-1604.503,-199.750
-1607.323,-187.250
-1603.071,-227.200
-1628.981,-217.200
-1627.583,-224.700
-1623.148,55.300
-1650.269,50.300
-1647.237,-9.700
-1696.197,14.900
-1694.228,-150.100
-1725.208,-864.250
