VaR,Loss
-2861.925,-2573.300
-2951.463,-2205.800
-2950.712,-2165.800
-2960.309,-2075.750
-3015.344,-2015.650
-3038.842,-1920.650
-3098.974,-1744.250
-3130.648,-1668.750
-3122.616,1181.150
-3672.164,3453.700
-3894.995,3258.700
-3851.957,3318.700
-3871.800,3408.700
-3882.198,3413.700
-3913.715,3409.200
-3943.064,3472.300
-3991.876,3457.300
-3981.272,3507.250
-3957.027,3579.650
-4003.728,4174.300
-4281.965,4150.450
-4219.959,3860.450
-4134.237,3827.950
-4124.420,3831.550
-4124.707,3623.550
-4121.530,3773.550
-4171.797,3928.550
-4289.317,4008.550
-4368.178,4056.050
-4415.516,4126.050
-4435.679,4366.050
-4536.614,4570.700
-4640.615,4800.700
-4728.985,4305.700
-4577.260,4505.700
-4628.686,4548.200
-4645.734,4538.200
-4664.802,4535.700
-4697.219,4565.700
-4736.496,4398.200
-4716.843,4330.700
-4689.725,4340.700
-4695.830,4345.700
-4756.375,4510.700
-4818.282,4115.850
-4897.443,4040.850
-4864.061,3953.850
-4868.214,2978.850
-4593.949,2938.850
-4586.814,3128.850
-4666.720,3308.850
-4781.548,3103.850
-4750.420,3101.350
-4741.256,3168.750
-4848.738,3183.550
-4859.366,3128.550
-4848.476,3098.550
-4841.206,3133.300
-4877.595,3258.700
-5135.749,3720.100
-5564.984,3725.100
-5572.277,3695.100
-5589.467,3673.850
-5607.529,3638.850
-5567.923,3611.050
-5536.651,3612.300
-5536.896,3632.300
-5534.841,3622.500
-5574.874,2658.200
-5376.755,2440.400
-5297.439,2565.400
-5216.831,2578.200
-5212.917,2933.200
-5286.876,2858.200
-5330.777,2828.200
-5288.509,2753.200
-5263.839,2773.200
-5295.989,2743.200
-5264.829,2848.200
-5264.321,2814.700
-5219.502,2739.700
-5215.260,2774.700
-5171.211,2779.700
-5199.115,2852.200
-5187.103,2834.700
-5170.525,2974.650
-5181.532,3134.650
-5178.166,3232.150
-5198.834,3262.150
-5189.231,3234.650
-5175.265,3537.150
-5242.007,4204.650
-5345.366,4384.650
-5353.654,4510.650
-5370.659,5230.650
-5370.352,5225.650
-5368.435,5000.650
-5312.139,4915.650
-5314.773,4915.650
-5383.476,4880.650
-5391.904,4815.700
-5392.705,4775.800
-5390.746,4705.800
-5346.735,4780.800
-5443.419,4820.800
-5498.670,4083.100
-5360.914,3090.450
-5228.906,2998.000
-5241.170,3010.500
-5240.874,3010.500
-5250.416,3038.000
-5245.821,3048.000
-5257.512,3018.000
-5255.012,3050.500
-5270.511,3008.650
-5264.405,3001.100
-5266.495,4120.750
-5469.093,4220.750
-5483.703,5610.750
-5997.256,5625.750
-6003.010,5711.850
-6041.384,5039.350
-5931.480,5124.350
-6001.321,5109.350
-6023.880,5204.350
-6058.132,5224.350
-6059.379,5244.350
-6095.282,5039.350
-6039.508,5157.400
-6034.994,5362.400
-6165.871,5867.400
-6179.183,5807.400
-6119.900,5759.900
-6126.736,5799.900
-6091.275,5844.900
-6085.789,5730.000
-6139.395,5617.500
-6149.302,5500.000
-6102.559,5335.000
-6116.393,5470.000
-6121.792,5275.000
-6168.786,5020.000
-5993.713,5035.000
-5981.873,5025.000
-5938.310,5050.000
-5936.771,5030.000
-5899.953,5058.150
-5975.422,5088.150
-5948.231,5053.150
-5955.330,5107.400
-6016.251,5002.400
-5963.714,4957.400
-5998.912,4699.900
-5776.432,4669.900
-5714.675,4659.950
-5659.217,4659.950
-5675.007,4649.950
-5657.736,4603.700
-5615.582,4648.700
-5653.132,4617.450
-5642.166,4621.150
-5653.453,4671.050
-5690.101,4261.050
-5678.630,4076.050
-5586.115,3161.050
-5626.502,3166.050
-5617.850,3101.050
-5636.747,3143.550
-5585.529,3053.550
-5615.353,3038.550
-5604.076,2983.550
-5679.668,2923.550
-5678.850,2878.550
-5640.842,2978.550
-5724.750,2993.500
-5740.363,2629.750
-5708.869,2384.750
-5652.694,2404.750
-5699.480,2469.750
-5709.365,2349.750
-5737.865,2274.650
-5731.796,2229.600
-5693.095,2179.600
-5680.828,2249.600
-5701.935,2314.600
-5699.204,2042.100
-5666.365,1562.100
-5656.844,1467.100
-5607.146,1197.100
-5636.713,1177.100
-5620.755,234.600
-5393.069,217.100
-5410.982,337.100
-5356.092,315.800
-5388.177,360.800
-5431.290,390.800
-5420.095,345.800
-5403.830,385.800
-5365.230,352.300
-5363.453,322.300
-5325.220,279.800
-5332.446,614.800
-5367.174,714.800
-5238.304,672.300
-5261.986,667.400
-5262.439,645.200
-5274.280,635.200
-5268.915,608.350
-5272.821,678.400
-5303.589,-200.300
-5129.987,-505.100
-5156.065,-295.100
-5210.373,-325.100
-5231.177,-330.100
-5207.876,-187.600
-5222.450,-97.600
-5302.605,-147.600
-5307.969,-147.600
-5290.360,-142.600
-5287.391,-237.600
-5296.091,-340.900
-5387.375,-243.400
-5388.615,-308.400
-5499.294,-340.900
-5501.099,-335.900
-5512.605,-310.700
-5516.331,-338.200
-5506.178,-303.200
-5540.263,-378.200
-5546.798,-308.200
-5619.432,-203.200
-5641.703,-133.200
-5709.303,-660.700
-5618.521,-550.700
-5698.995,-558.200
-5693.741,-203.200
-5536.710,-208.200
-5531.640,-348.200
-5497.252,-410.050
-5494.066,-625.050
-5442.716,-652.800
-5434.783,-685.300
