VaR,Loss
-3110.549,694.800
-3123.464,812.300
-3193.631,1134.800
-3223.341,1229.400
-3259.844,1421.400
-3385.133,1626.400
-3447.997,1651.400
-3443.688,2716.400
-3803.226,2751.400
-3818.031,2824.700
-3848.505,2804.700
-3772.851,2802.900
-3732.731,2787.900
-3717.891,2675.400
-3701.543,2680.400
-3692.965,2500.400
-3659.667,2240.400
-3689.532,2150.400
-3688.258,159.550
-3109.492,-1947.950
-2210.045,-1848.900
-2224.071,-1783.900
-2269.650,-1693.900
-2273.480,-1813.900
-2303.206,-1828.900
-2291.044,-1728.900
-2248.813,-1723.900
-2249.507,-1568.500
-2310.741,206.500
-2699.398,612.500
-2821.664,202.500
-2662.231,227.500
-2658.863,-280.000
-2531.317,-90.000
-2558.321,-95.000
-2554.070,275.000
-2619.661,343.750
-2596.123,354.050
-2598.001,394.050
-2576.463,451.550
-2593.264,656.550
-2689.300,780.450
-2695.575,835.450
-2705.542,825.450
-2714.351,730.950
-2694.247,697.350
-2647.798,799.300
-2671.325,699.300
-2648.248,819.000
-2695.401,716.500
-2671.793,601.500
-2652.059,525.500
-2650.191,644.850
-2759.421,719.850
-2808.068,714.850
-2799.204,184.850
-2734.067,184.850
-2733.856,209.300
-2725.835,164.300
-2709.005,276.950
-2736.453,509.450
-2834.707,409.450
-2802.132,611.950
-2857.526,544.450
-2739.301,684.450
-2774.520,314.900
-2670.158,189.900
-2509.422,185.900
-2524.191,130.900
-2513.110,90.900
-2547.444,103.400
-2529.550,93.400
-2521.379,5.900
-2533.211,35.900
-2545.766,-274.100
-2516.683,-1934.100
-2141.960,-2170.700
-2171.560,-2205.700
-2158.343,-2195.700
-2166.081,-1800.700
-2159.824,-1850.700
-2186.860,-1835.700
-2191.127,-1840.700
-2265.774,-1683.200
-2288.951,-1705.700
-2275.808,-1455.700
-2369.275,-1420.700
-2368.777,-1000.700
-2514.281,-981.000
-2530.618,-924.750
-2532.731,-909.750
-2539.779,-751.850
-2542.627,-890.550
-2522.462,-960.550
-2526.818,-1063.050
-2468.864,-1210.400
-2450.171,-1195.400
-2474.346,-1192.900
-2390.148,-1313.650
-2330.513,-1706.900
-2360.701,-1806.900
-2352.061,-1846.900
-2346.297,-1806.950
-2367.471,-1849.450
-2376.606,-2012.350
-2350.702,-1997.350
-2319.620,-2105.850
-2308.342,-2045.850
-2349.674,-2150.850
-2327.630,-2035.850
-2292.380,-2110.850
-2299.026,-1775.850
-2331.081,-1915.850
-2301.355,-2398.600
-1840.799,-2726.100
-1627.702,-2803.600
-1650.155,-2833.950
-1658.441,-2828.950
-1662.982,-2863.950
-1646.423,-2853.950
-1633.157,-2858.950
-1635.501,-2858.950
-1648.432,-2868.950
-1674.676,-2593.950
-1702.361,-2008.950
-1729.183,-2211.750
-1668.258,-1614.250
-1862.410,-1579.250
-1859.970,-1446.750
-1954.471,-1376.750
-2036.442,-1439.250
-2027.591,-1644.250
-2024.908,-1855.400
-2022.808,-1887.900
-2011.246,-2052.900
-2040.808,-2152.900
-2034.264,-2832.900
-2003.310,-3001.500
-1931.651,-2954.000
-1943.724,-2999.000
-1946.351,-3224.800
-1934.290,-3184.800
-1931.553,-3179.800
-1947.809,-3149.800
-1904.888,-3159.800
-1875.247,-3159.800
-1941.123,-3033.300
-1925.706,-2993.550
-1878.508,-3081.050
-1779.357,-3106.050
-1771.431,-3785.800
-1621.942,-3735.800
-1620.841,-3654.350
-1622.644,-3759.350
-1566.073,-3773.850
-1528.434,-3793.850
-1530.883,-3828.850
-1496.481,-3783.850
-1503.785,-3781.350
-1518.822,-3716.350
-1549.494,-3188.600
-1330.373,-2971.750
-1295.616,-2966.750
-1269.476,-2972.200
-1287.359,-3037.200
-1295.710,-3072.200
-1297.202,-3019.700
-1295.605,-2967.200
-1306.621,-2942.200
-1296.028,-3097.200
-1258.444,-2892.200
-1263.070,-2709.100
-1264.760,-3009.100
-1259.165,-3019.100
-1248.476,-3234.100
-1283.025,-3319.100
-1316.745,-3324.100
-1305.702,-3339.100
-1299.897,-3270.600
-1308.628,-3225.600
-1320.700,-3270.600
-1274.056,-3185.600
-1281.718,-2610.600
-1374.426,-2518.100
-1396.565,-2521.850
-1379.875,-2511.850
-1377.637,-2486.450
-1407.763,-2424.150
-1413.327,-2474.150
-1410.052,-2419.150
-1400.372,-2509.150
-1401.619,-2529.150
-1356.665,-2794.900
-1333.415,-3085.100
-1309.367,-3010.100
-1208.092,-2895.100
-1227.444,-1967.950
-1242.226,-1965.450
-1233.719,-1949.150
-1237.403,-1749.150
-1222.149,-1794.150
-1173.822,-1794.150
-1189.101,-1831.650
-1149.489,-1878.050
-1182.992,-1870.550
-1166.530,-1940.550
-1188.446,-2000.550
-1209.901,-2866.050
-949.102,-3704.750
-816.828,-3722.250
-817.531,-3756.350
-814.758,-3716.350
-790.635,-3786.350
-792.348,-3766.350
-813.659,-3771.350
-803.136,-3681.350
-796.866,-4166.350
-821.158,-4244.750
-779.270,-4417.250
-781.200,-4372.250
-773.564,-4347.250
-796.744,-4529.750
-791.211,-4444.750
-831.774,-4422.250
-827.111,-4462.250
-811.016,-4460.850
-859.052,-4473.350
-858.970,-4458.350
-846.767,-4423.350
-839.651,-4808.350
-908.014,-4830.850
-941.498,-4910.850
-956.671,-4870.850
-958.447,-4930.850
-931.029,-4979.950
-944.550,-5049.950
-965.646,-5122.450
-972.098,-4979.950
-1008.704,-4939.950
-990.381,-4884.950
-997.896,-4509.950
-1006.101,-4126.100
-970.569,-4128.600
-989.584,-4208.600
-944.693,-4705.950
-1095.342,-4743.450
-1091.658,-4735.350
-1074.155,-4837.850
-1040.297,-4797.850
-1039.148,-4807.850
-1040.527,-4812.850
-1051.186,-4785.050
-1017.754,-4745.050
-1046.478,-4770.050
-1030.622,-4695.050
-1002.928,-3697.800
-916.457,-2905.950
-620.675,-2975.900
-598.346,-2931.350
-603.797,-2966.350
-583.725,-3031.350
-562.737,-3066.350
-588.945,-3031.350
-577.428,-3038.900
-565.420,-3247.900
-556.214,-3090.200
-557.410,-3277.700
-526.774,-3297.700
-532.137,-3313.100
-524.327,-3313.100
-573.857,-3380.600
-595.563,-3368.100
-599.054,-3238.100
-582.052,-3259.600
-573.564,-3269.600
-576.120,-3374.600
-528.347,-3474.600
-515.491,-3284.600
-583.977,-3249.600
-595.834,-3269.600
-584.125,-3319.600
-591.918,-3338.300
-617.272,-3075.800
-636.657,-3072.950
-645.192,-3157.950
-604.443,-3167.950
-634.271,-3327.950
-610.165,-3267.950
-661.278,-3469.250
-644.716,-3509.250
-620.100,-3454.250
-633.138,-2781.750
-735.696,-2802.050
-765.534,-2912.050
-743.040,-2859.550
-766.761,-2869.550
-774.231,-2809.550
-795.039,-2870.950
-790.636,-2940.950
-801.591,-2775.950
-795.877,-2790.950
-799.163,-2969.950
-813.827,-2302.350
-786.614,-1847.450
-907.837,-1843.400
-923.578,-1718.400
-934.092,-1603.400
-931.906,-1573.400
-931.335,-1555.900
-937.751,-1565.800
-947.455,-1548.300
-950.443,-1260.300
-916.867,-195.300
-985.658,-244.900
-988.284,-484.900
-929.462,-494.900
-912.320,-514.100
-910.862,-739.100
-863.360,-769.100
-893.999,-804.100
-867.284,-1004.100
-802.130,-989.800
-766.563,-909.800
-753.520,-1054.800
-713.158,-1074.800
-677.759,-1069.800
-664.366,-1049.800
-661.439,-1064.300
-692.287,-1231.800
-673.207,-1188.000
-671.118,-1115.500
-694.080,-1075.500
-654.610,-1090.500
-616.715,-1065.500
-653.396,-1018.650
-662.132,-983.650
-630.271,-1581.150
-560.803,-1596.150
-566.883,-1512.700
-564.189,-1542.700
-562.585,-1555.550
-561.722,-1572.950
-567.381,-1582.950
-544.631,-1492.950
-562.188,-1642.950
-610.634,-1667.950
-594.166,-8.450
-837.941,1056.350
-1369.219,826.400
-1369.616,853.300
-1388.787,853.300
-1430.796,803.300
-1478.043,790.800
-1448.103,798.250
-1448.590,763.250
-1432.807,684.250
-1454.622,610.450
-1424.026,1185.450
-1342.117,1217.950
-1344.371,1222.550
-1344.379,1240.050
-1346.253,1293.350
-1363.850,1303.350
-1302.112,1350.550
-1304.370,1365.550
-1311.849,1378.050
-1325.034,1438.050
-1338.471,1533.050
-1375.877,1538.050
-1373.470,1588.050
-1397.288,1575.550
-1384.788,1726.800
-1400.865,1716.800
-1367.602,1789.300
-1425.612,1838.150
-1428.212,1793.150
-1388.472,1863.150
-1455.037,1718.150
-1384.306,1928.750
-1374.207,1901.250
-1391.627,1956.250
