VaR,Loss
-1539.350,-2573.300
-1549.203,-2205.800
-1616.970,-2165.800
-1610.019,-2075.750
-1603.705,-2015.650
-1639.835,-1920.650
-1702.014,-1744.250
-1755.590,-1668.750
-1791.490,1181.150
-2381.932,3453.700
-2675.306,3258.700
-2669.788,3318.700
-2697.558,3408.700
-2656.867,3413.700
-2676.142,3409.200
-2697.189,3472.300
-2703.652,3457.300
-2699.941,3507.250
-2719.303,3579.650
-2724.437,4174.300
-2899.321,4150.450
-2903.904,3860.450
-2823.805,3827.950
-2838.829,3831.550
-2822.996,3623.550
-2872.934,3773.550
-2917.936,3928.550
-2987.046,4008.550
-3038.006,4056.050
-3049.504,4126.050
-3067.058,4366.050
-3134.546,4570.700
-3185.506,4800.700
-3281.911,4305.700
-3193.018,4505.700
-3266.542,4548.200
-3274.062,4538.200
-3252.309,4535.700
-3267.953,4565.700
-3270.306,4398.200
-3228.984,4330.700
-3217.634,4340.700
-3257.036,4345.700
-3304.416,4510.700
-3347.383,4115.850
-3261.721,4040.850
-3258.894,3953.850
-3248.261,2978.850
-3051.038,2938.850
-3032.896,3128.850
-3096.599,3308.850
-3220.669,3103.850
-3170.332,3101.350
-3185.184,3168.750
-3237.466,3183.550
-3245.231,3128.550
-3247.238,3098.550
-3325.838,3133.300
-3325.100,3258.700
-3599.345,3720.100
-3848.843,3725.100
-3861.741,3695.100
-3870.701,3673.850
-3885.265,3638.850
-3881.438,3611.050
-3869.375,3612.300
-3877.962,3632.300
-3882.049,3622.500
-3903.137,2658.200
-3691.857,2440.400
-3672.564,2565.400
-3628.029,2578.200
-3625.252,2933.200
-3744.765,2858.200
-3711.313,2828.200
-3756.936,2753.200
-3739.075,2773.200
-3745.460,2743.200
-3758.151,2848.200
-3758.450,2814.700
-3790.106,2739.700
-3725.648,2774.700
-3695.538,2779.700
-3712.881,2852.200
-3737.746,2834.700
-3745.875,2974.650
-3792.109,3134.650
-3791.833,3232.150
-3802.636,3262.150
-3807.842,3234.650
-3845.059,3537.150
-3916.998,4204.650
-4050.829,4384.650
-4080.051,4510.650
-4100.960,5230.650
-4237.488,5225.650
-4224.844,5000.650
-4192.471,4915.650
-4227.051,4915.650
-4202.525,4880.650
-4203.250,4815.700
-4196.504,4775.800
-4209.059,4705.800
-4216.249,4780.800
-4324.834,4820.800
-4344.303,4083.100
-4345.918,3090.450
-4412.642,2998.000
-4397.529,3010.500
-4410.432,3010.500
-4424.942,3038.000
-4429.147,3048.000
-4411.413,3018.000
-4402.833,3050.500
-4407.607,3008.650
-4408.485,3001.100
-4411.530,4120.750
-4531.128,4220.750
-4518.805,5610.750
-4979.583,5625.750
-5005.367,5711.850
-5005.651,5039.350
-4984.724,5124.350
-5031.376,5109.350
-4974.350,5204.350
-4999.226,5224.350
-5029.427,5244.350
-5032.678,5039.350
-5023.773,5157.400
-5039.911,5362.400
-5157.541,5867.400
-5129.889,5807.400
-5112.376,5759.900
-5113.098,5799.900
-5133.778,5844.900
-5161.490,5730.000
-5181.199,5617.500
-5158.812,5500.000
-5163.692,5335.000
-5153.828,5470.000
-5125.499,5275.000
-5090.956,5020.000
-4946.208,5035.000
-4971.511,5025.000
-4963.952,5050.000
-4959.282,5030.000
-4962.944,5058.150
-4956.276,5088.150
-4954.471,5053.150
-4940.487,5107.400
-4886.565,5002.400
-4851.251,4957.400
-4854.612,4699.900
-4671.392,4669.900
-4511.762,4659.950
-4531.440,4659.950
-4537.283,4649.950
-4516.442,4603.700
-4533.057,4648.700
-4541.264,4617.450
-4526.630,4621.150
-4528.808,4671.050
-4530.194,4261.050
-4441.516,4076.050
-4431.737,3161.050
-4522.298,3166.050
-4538.433,3101.050
-4534.879,3143.550
-4483.636,3053.550
-4446.615,3038.550
-4460.528,2983.550
-4444.449,2923.550
-4408.193,2878.550
-4399.144,2978.550
-4438.215,2993.500
-4504.863,2629.750
-4465.139,2384.750
-4504.735,2404.750
-4520.952,2469.750
-4528.878,2349.750
-4550.837,2274.650
-4527.987,2229.600
-4530.607,2179.600
-4557.149,2249.600
-4556.410,2314.600
-4543.068,2042.100
-4576.087,1562.100
-4503.553,1467.100
-4473.970,1197.100
-4462.897,1177.100
-4510.334,234.600
-4432.738,217.100
-4449.878,337.100
-4493.534,315.800
-4454.404,360.800
-4573.634,390.800
-4584.663,345.800
-4565.365,385.800
-4565.411,352.300
-4515.708,322.300
-4509.938,279.800
-4481.851,614.800
-4237.865,714.800
-4273.703,672.300
-4271.705,667.400
-4258.965,645.200
-4216.689,635.200
-4222.034,608.350
-4226.491,678.400
-4256.363,-200.300
-4051.687,-505.100
-4004.905,-295.100
-3999.640,-325.100
-3994.389,-330.100
-3983.751,-187.600
-4000.665,-97.600
-4012.141,-147.600
-4013.843,-147.600
-3997.054,-142.600
-3976.523,-237.600
-3930.365,-340.900
-3939.110,-243.400
-3909.383,-308.400
-3892.627,-340.900
-3891.311,-335.900
-3907.867,-310.700
-3890.912,-338.200
-3861.941,-303.200
-3849.126,-378.200
-3834.482,-308.200
-3807.318,-203.200
-3828.062,-133.200
-3778.235,-660.700
-3708.053,-550.700
-3728.438,-558.200
-3732.430,-203.200
-3694.653,-208.200
-3696.878,-348.200
-3698.468,-410.050
-3723.033,-625.050
-3717.653,-652.800
-3728.491,-685.300
-3716.284,-795.300
-3692.809,-816.050
-3706.187,-866.050
-3691.524,-821.050
-3699.688,-1343.550
-3837.567,-1648.550
-3833.979,-1566.300
-3837.834,-1575.800
-3832.102,-1596.000
-3825.860,-1606.000
-3818.248,-1611.000
-3826.955,-1599.100
-3857.677,-1655.200
-3848.441,-1620.200
-3826.909,-1720.200
-3845.799,-1467.800
-3891.931,-1158.200
-3852.836,-1303.200
-3894.155,-1308.200
-3879.973,-1310.100
-3885.983,-1055.100
-3941.680,-1080.100
-3923.264,-1065.100
-3917.825,-1000.100
-3953.724,-995.100
-3952.497,-780.100
-3985.082,-861.450
-3942.035,-777.700
-3975.744,-637.700
-3973.361,-697.700
-4015.795,-722.700
-4013.078,-697.700
-3998.868,-652.800
-4011.742,-615.300
-4013.534,-600.300
-4007.429,-565.300
-4013.699,-620.300
-3990.471,-585.300
-4003.512,-330.300
-4010.551,427.200
