VaR,Loss
-4729.065,60746.150
-4773.492,60818.650
-4731.940,60518.650
-4903.995,60512.450
-4907.534,60709.050
-4794.830,60675.950
-4813.829,59950.950
-5229.624,44424.650
-5263.931,44304.650
-5332.854,44126.800
-5435.103,44166.800
-5412.180,44277.300
-5348.890,44257.300
-5360.358,44382.300
-5288.768,44807.300
-5045.642,44947.300
-4965.453,48113.650
-3500.117,52033.650
-1835.726,52153.650
-1784.585,52034.000
-1835.674,52054.000
-1827.137,51992.500
-1853.377,52137.500
-1791.700,52132.500
-1793.832,52043.600
-1831.838,51973.600
-1861.697,52032.800
-1836.428,51167.850
-2204.489,51047.350
-2255.726,51212.350
-2185.214,51134.850
-2218.301,51144.850
-2214.013,51294.850
-2150.025,51184.850
-2196.742,51174.850
-2200.997,50944.850
-2298.948,50784.850
-2367.336,50771.750
-2372.922,50649.250
-2425.119,50614.250
-2439.962,50376.750
-2540.729,50326.750
-2561.066,50161.750
-2631.546,-20.750
-2704.266,292.050
-2638.538,318.150
-2621.598,512.150
-2577.433,467.300
-2604.412,584.800
-2554.921,907.300
-2499.994,1001.900
-2471.120,1193.900
-2380.728,1218.900
-2378.113,2283.900
-2165.696,2318.900
-2150.536,2392.200
-2131.281,2372.200
-2154.937,2370.400
-2181.987,2355.400
-2180.447,2242.900
-2197.351,2247.900
-2198.842,2067.900
-2233.866,1807.900
-2247.813,1717.900
-2253.792,-272.950
-2378.415,-2380.450
-2423.630,-2281.400
-2411.371,-2216.400
-2388.066,-2126.400
-2369.663,-2246.400
-2384.353,-2261.400
-2389.790,-2161.400
-2372.463,-2156.400
-2381.746,-2001.000
-2324.789,-226.000
-1928.837,180.000
-1831.012,-230.000
-1923.930,-205.000
-1927.856,-712.500
-2052.527,-522.500
-2013.476,-527.500
-2016.365,-157.500
-1943.108,-88.750
-1946.330,-78.450
-1945.251,-38.450
-1951.291,19.050
-1939.861,309.450
-1890.980,514.450
-1840.183,638.350
-1828.456,693.350
-1804.095,683.350
-1808.510,588.850
-1811.011,555.250
-1786.074,657.200
-1752.400,557.200
-1754.638,676.900
-1738.951,574.400
-1738.952,459.400
-1738.953,383.400
-1742.612,502.750
-1667.059,497.750
-1666.905,-32.250
-1681.670,-32.250
-1676.744,-7.800
-1660.514,-52.800
-1684.157,59.850
-1671.481,292.350
-1625.523,192.350
-1649.933,394.850
-1620.713,327.350
-1643.584,467.350
-1613.772,97.800
-1767.832,-27.200
-1822.674,-31.200
-1817.096,-86.200
-1818.347,-126.200
-1818.466,-113.700
-1823.259,-123.700
-1828.715,-211.200
-1841.516,-181.200
-1838.989,-491.200
-1886.337,-2151.200
-2088.056,-2387.800
-2089.710,-2422.800
-2101.694,-2412.800
-2097.449,-2017.800
-2068.573,-2067.800
-2057.813,-2052.800
-2055.555,-2057.800
-2011.410,-1900.300
-1971.523,-1922.800
-1976.796,-1672.800
-1915.223,-1637.800
-1899.334,-1193.100
-1758.687,-773.100
-1629.435,-753.400
-1618.166,-697.150
-1594.662,-682.150
-1591.852,-524.250
-1561.924,-662.950
-1574.537,-732.950
-1568.112,-835.450
-1589.903,-982.800
-1609.847,-967.800
-1606.820,-965.300
-1606.316,-1086.050
-1633.009,-1479.300
-1665.608,-1519.300
-1673.827,-1479.350
-1675.130,-1521.850
-1682.391,-1684.750
-1705.801,-1669.750
-1718.225,-1778.250
-1733.009,-1718.250
-1718.151,-1823.250
-1709.505,-1708.250
-1701.569,-1783.250
-1697.740,-1448.250
-1643.791,-1588.250
-1653.036,-2071.000
-1860.229,-2398.500
-1972.582,-2476.000
-1977.449,-2506.350
-1980.672,-2501.350
-1980.377,-2536.350
-1988.695,-2526.350
-1989.708,-2531.350
-1994.700,-2531.350
-2003.641,-2541.350
-2004.227,-2266.350
-1972.607,-1681.350
-1969.955,-1884.150
-2018.710,-1286.650
-1930.051,-1251.650
-1929.608,-1119.150
-1879.712,-1049.150
-1856.529,-1111.650
-1869.596,-1316.650
-1888.536,-1527.800
-1911.771,-1560.300
-1922.963,-1725.300
-1920.151,-1825.300
-1932.780,-2350.900
-1957.906,-3030.900
-2023.245,-3199.500
-2055.748,-3152.000
-2032.108,-3197.000
-2040.902,-3422.800
-2058.675,-3382.800
-2060.532,-3377.800
-2055.313,-3347.800
-2065.027,-3357.800
-2064.687,-3357.800
-2064.348,-3231.300
-2060.808,-3191.550
-2075.546,-3216.550
-2085.218,-3896.300
-2206.868,-3846.300
-2200.343,-3764.850
-2201.823,-3869.850
-2230.192,-3884.350
-2243.348,-3904.350
-2236.703,-3939.350
-2237.144,-3894.350
-2223.127,-3891.850
-2184.397,-3826.850
-2179.111,-3299.100
-2223.271,-3082.250
-2255.966,-3077.250
-2257.402,-3082.700
-2260.528,-3147.700
-2272.670,-3182.700
-2284.808,-3130.200
-2275.441,-3077.700
-2268.662,-3052.700
-2269.671,-3207.700
-2278.605,-3002.700
-2238.046,-2819.600
-2234.816,-3119.600
-2238.556,-3129.600
-2240.150,-3344.600
-2248.628,-3429.600
-2249.571,-3434.600
-2259.040,-3449.600
-2274.258,-3381.100
-2276.250,-3336.100
-2274.914,-3381.100
-2281.717,-3296.100
-2273.715,-3088.100
-2250.412,-2513.100
-2185.160,-2420.600
-2187.719,-2424.350
-2169.907,-2414.350
-2174.439,-2388.950
-2183.427,-2326.650
-2175.786,-2376.650
-2179.242,-2321.650
