VaR,Loss
-164.153,37.800
-279.164,327.800
-279.159,282.800
-324.137,162.800
-444.150,352.800
-443.389,232.800
-563.037,195.300
-600.515,185.300
-610.494,184.700
-611.094,399.700
-611.247,501.950
-611.052,431.700
-681.222,-1698.500
-2807.244,-3912.200
-5019.004,-3837.200
-5018.192,-3894.700
-5075.687,-4019.700
-5200.741,-3964.700
-5200.777,-3890.700
-5200.816,-3831.000
-5200.825,-3788.500
-5200.862,-3838.400
-5250.762,-3878.400
-5290.736,-4193.400
-5606.068,-4267.300
-5680.418,-4292.300
-5705.386,-4242.300
-5705.408,-4257.300
-5720.376,-3741.300
-5720.721,-3776.300
-5755.633,-3706.300
-5755.327,-3581.300
-5755.292,-3526.300
-5754.980,-3566.300
-5794.951,-3791.300
-6019.263,-3741.300
-6017.812,-3986.300
-6262.465,-3856.300
-6261.053,-4081.300
-6485.467,-4101.300
-6505.467,-4155.800
-6505.455,-4080.800
-6505.477,-4025.800
-6505.471,-3980.800
-6505.341,-3930.800
-6505.343,-3940.800
-6505.382,-3835.800
-6505.512,-3843.300
-6513.009,-3571.600
-6513.165,-3296.800
-6513.442,-3225.800
-6513.476,-2733.300
-6513.463,-2668.300
-6513.533,-2618.300
-6513.527,-2573.300
-6513.108,-2205.800
-6513.953,-2165.800
-6513.975,-2075.750
-6513.998,-2015.650
-6514.011,-1920.650
-6514.891,-1744.250
-6515.177,-1668.750
-6515.177,1181.150
-6519.743,3453.700
-6522.580,3258.700
-6643.632,3318.700
-6643.698,3408.700
-6643.808,3413.700
-6643.856,3409.200
-6643.883,3472.300
-6644.002,3457.300
-6644.019,3507.250
-6644.053,3579.650
-6644.060,4174.300
-6644.199,4150.450
-6668.173,3860.450
-6957.453,3827.950
-6957.456,3831.550
-6957.385,3623.550
-6957.508,3773.550
-6957.661,3928.550
-6958.084,4008.550
-6958.191,4056.050
-6958.161,4126.050
-6958.251,4366.050
-6958.488,4570.700
-6958.784,4800.700
-6959.006,4305.700
-7325.297,4505.700
-7325.397,4548.200
-7325.412,4538.200
-7325.384,4535.700
-7325.405,4565.700
-7325.432,4398.200
