VaR,Loss
-4634.001,-2573.300
-4674.944,-2205.800
-4806.374,-2165.800
-4828.475,-2075.750
-4836.285,-2015.650
-4884.106,-1920.650
-4970.763,-1744.250
-4921.512,-1668.750
-4966.829,1181.150
-5495.654,3453.700
-5888.634,3258.700
-5918.420,3318.700
-5938.230,3408.700
-5871.600,3413.700
-5865.476,3409.200
-5950.081,3472.300
-5998.831,3457.300
-6014.148,3507.250
-6027.757,3579.650
-6042.391,4174.300
-6478.175,4150.450
-6436.459,3860.450
-6377.999,3827.950
-6330.691,3831.550
-6333.562,3623.550
-6387.356,3773.550
-6437.938,3928.550
-6361.950,4008.550
-6458.796,4056.050
-6429.403,4126.050
-6515.431,4366.050
-6469.642,4570.700
-6544.868,4800.700
-6545.812,4305.700
-6475.749,4505.700
-6548.812,4548.200
-6590.017,4538.200
-6588.172,4535.700
-6489.878,4565.700
-6508.896,4398.200
-6424.230,4330.700
-6470.016,4340.700
-6388.254,4345.700
-6441.148,4510.700
-6458.586,4115.850
-6369.715,4040.850
-6365.192,3953.850
-6342.190,2978.850
-5915.330,2938.850
-5888.268,3128.850
-5907.193,3308.850
-5886.534,3103.850
-5832.732,3101.350
-5855.670,3168.750
-5865.460,3183.550
-5845.169,3128.550
-5779.641,3098.550
-5755.584,3133.300
-5790.394,3258.700
-5838.206,3720.100
-6173.081,3725.100
-6169.580,3695.100
-6074.868,3673.850
-6078.619,3638.850
-6116.242,3611.050
-6129.449,3612.300
-6115.114,3632.300
-6084.214,3622.500
-6180.144,2658.200
-6234.731,2440.400
-6188.255,2565.400
-6106.628,2578.200
-6119.269,2933.200
-6120.472,2858.200
-6129.386,2828.200
-6247.313,2753.200
-6226.165,2773.200
-6232.871,2743.200
-6244.980,2848.200
-6311.307,2814.700
-6403.328,2739.700
-6270.287,2774.700
-6235.613,2779.700
-6249.972,2852.200
-6291.583,2834.700
-6258.322,2974.650
-6260.103,3134.650
-6348.321,3232.150
-6324.536,3262.150
-6396.479,3234.650
-6468.173,3537.150
-6654.379,4204.650
-7025.757,4384.650
-7152.406,4510.650
-7119.489,5230.650
-7332.469,5225.650
-7367.665,5000.650
-7383.887,4915.650
-7408.166,4915.650
-7337.337,4880.650
-7337.756,4815.700
-7372.641,4775.800
-7410.124,4705.800
-7297.799,4780.800
-7432.278,4820.800
-7430.594,4083.100
-7312.886,3090.450
-7518.926,2998.000
-7534.222,3010.500
-7505.643,3010.500
-7524.387,3038.000
-7511.697,3048.000
-7509.136,3018.000
-7489.921,3050.500
-7536.756,3008.650
-7551.164,3001.100
-7524.863,4120.750
-7470.757,4220.750
-7534.487,5610.750
-7849.340,5625.750
-7866.960,5711.850
-7864.077,5039.350
-7867.871,5124.350
-7784.612,5109.350
-7769.675,5204.350
-7876.973,5224.350
-7910.967,5244.350
-7904.232,5039.350
-7838.489,5157.400
-7883.151,5362.400
-7846.451,5867.400
-8027.110,5807.400
-7973.355,5759.900
-7927.537,5799.900
-7929.088,5844.900
-7992.595,5730.000
-7939.474,5617.500
-7830.465,5500.000
-7786.714,5335.000
-7788.113,5470.000
-7853.405,5275.000
-7797.436,5020.000
-7714.566,5035.000
-7773.659,5025.000
-7706.071,5050.000
-7710.874,5030.000
-7673.149,5058.150
-7693.411,5088.150
-7673.828,5053.150
-7618.581,5107.400
-7614.409,5002.400
-7552.493,4957.400
-7515.961,4699.900
-7200.264,4669.900
-7057.463,4659.950
-7086.738,4659.950
-7091.028,4649.950
-7116.407,4603.700
-7128.148,4648.700
-7141.516,4617.450
-7140.220,4621.150
-7156.019,4671.050
-7160.229,4261.050
-7197.379,4076.050
-7105.553,3161.050
-7170.734,3166.050
-7163.702,3101.050
-7146.426,3143.550
-6941.678,3053.550
-6963.923,3038.550
-7069.472,2983.550
-7047.255,2923.550
-7050.720,2878.550
-7100.525,2978.550
-7044.468,2993.500
-7048.605,2629.750
-7120.906,2384.750
-7175.150,2404.750
-7192.830,2469.750
-7214.432,2349.750
-7199.244,2274.650
-7152.756,2229.600
-7208.622,2179.600
-7160.460,2249.600
-7171.113,2314.600
-7211.515,2042.100
-7225.674,1562.100
-7173.270,1467.100
-7188.714,1197.100
-7258.861,1177.100
-7246.752,234.600
-7290.291,217.100
-7313.361,337.100
-7292.254,315.800
-7270.961,360.800
-7325.977,390.800
-7320.396,345.800
-7347.228,385.800
-7338.669,352.300
-7307.591,322.300
-7390.921,279.800
-7394.735,614.800
-7040.304,714.800
-6653.996,672.300
-6664.641,667.400
-6684.812,645.200
-6731.274,635.200
-6734.108,608.350
-6726.805,678.400
-6760.157,-200.300
-6697.646,-505.100
-6860.163,-295.100
-6976.480,-325.100
-6965.599,-330.100
-6981.084,-187.600
-6870.520,-97.600
-6859.843,-147.600
-6850.647,-147.600
-6802.225,-142.600
-6837.832,-237.600
-6792.050,-340.900
-6679.356,-243.400
-6639.411,-308.400
-6548.653,-340.900
-6532.390,-335.900
-6444.443,-310.700
-6474.376,-338.200
-6457.228,-303.200
-6470.651,-378.200
-6447.193,-308.200
-6417.395,-203.200
-6340.168,-133.200
-6369.679,-660.700
-6125.754,-550.700
-6073.456,-558.200
-6102.857,-203.200
-6033.772,-208.200
-6012.478,-348.200
-6036.710,-410.050
-6044.428,-625.050
-5904.480,-652.800
-5857.666,-685.300
-5908.437,-795.300
-5921.962,-816.050
-5872.992,-866.050
-5875.552,-821.050
-5885.305,-1343.550
-5960.067,-1648.550
-5898.247,-1566.300
-5891.456,-1575.800
-5874.845,-1596.000
-5888.530,-1606.000
-5883.389,-1611.000
-5887.199,-1599.100
-5849.733,-1655.200
-5864.259,-1620.200
-5892.706,-1720.200
-5883.565,-1467.800
-5923.513,-1158.200
-6009.616,-1303.200
-5965.699,-1308.200
-5998.197,-1310.100
-5943.255,-1055.100
-5932.643,-1080.100
-5959.896,-1065.100
-5926.497,-1000.100
-5946.033,-995.100
-5942.523,-780.100
-5913.595,-861.450
-6098.038,-777.700
-6005.467,-637.700
-6096.389,-697.700
-6200.691,-722.700
-6214.693,-697.700
-6155.005,-652.800
-6163.225,-615.300
-6215.144,-600.300
-6208.796,-565.300
-6247.253,-620.300
-6243.311,-585.300
-6281.203,-330.300
-6309.147,427.200
-6449.794,402.250
-6400.720,522.250
-6335.530,544.750
-6322.363,579.750
-6356.009,494.750
-6393.332,784.750
-6492.099,812.750
-6503.432,857.750
-6457.863,1012.750
-6456.111,1002.750
-6363.499,1152.750
-6316.857,1170.250
-6330.605,1805.250
-6319.676,2510.250
-6603.570,2335.400
-6551.335,2344.300
-6545.452,2394.400
-6506.847,2444.400
-6451.496,2414.400
-6469.597,2452.200
-6478.475,2504.400
-6470.995,2509.400
-6453.666,2606.900
-6452.903,3148.200
-6215.356,3245.900
-6196.195,2585.900
-6203.559,2628.450
-6196.894,2622.250
-6170.131,1867.250
-5985.981,1802.250
-5932.543,1857.000
-5971.562,1832.000
-6022.453,1842.000
-6090.680,1842.000
-6079.302,1667.000
-6066.585,1788.000
-6030.991,1663.000
-5941.054,1733.000
-6102.185,1843.000
-6144.396,1830.500
-6157.886,1840.500
-6174.280,1725.500
-6161.698,1653.000
-6158.869,1648.000
-6185.265,1673.000
-6173.832,1478.000
-6157.684,1276.750
-6103.614,596.750
-6119.240,541.750
-6059.152,561.550
-6003.877,336.550
-5966.144,321.500
