VaR,Loss
-5037.623,694.800
-5015.409,812.300
-5061.053,1134.800
-5064.022,1229.400
-5084.898,1421.400
-5134.906,1626.400
-5208.266,1651.400
-5189.191,2716.400
-5485.902,2751.400
-5523.461,2824.700
-5523.093,2804.700
-5520.403,2802.900
-5519.581,2787.900
-5484.739,2675.400
-5418.768,2680.400
-5419.560,2500.400
-5356.252,2240.400
-5433.181,2150.400
-5423.298,159.550
-4792.963,-1947.950
-4213.588,-1848.900
-4252.890,-1783.900
-4259.518,-1693.900
-4264.037,-1813.900
-4238.610,-1828.900
-4227.777,-1728.900
-4176.815,-1723.900
-4180.164,-1568.500
-4267.699,206.500
-4893.577,612.500
-5038.292,202.500
-4924.049,227.500
-4893.865,-280.000
-4827.498,-90.000
-4841.227,-95.000
-4837.071,275.000
-4901.714,343.750
-4883.898,354.050
-4876.875,394.050
-4918.385,451.550
-4926.843,656.550
-4944.628,780.450
-4868.673,835.450
-4913.023,825.450
-4905.571,730.950
-4924.875,697.350
-4825.074,799.300
-4860.764,699.300
-4891.235,819.000
-4857.671,716.500
-4857.566,601.500
-4768.470,525.500
-4760.879,644.850
-4771.235,719.850
-4787.112,714.850
-4781.007,184.850
-4674.064,184.850
-4683.756,209.300
-4634.073,164.300
-4651.804,276.950
-4611.130,509.450
-4703.683,409.450
-4626.401,611.950
-4625.527,544.450
-4514.784,684.450
-4522.366,314.900
-3858.726,189.900
-3367.671,185.900
-3465.382,130.900
-3445.091,90.900
-3428.352,103.400
-3392.272,93.400
-3388.329,5.900
-3378.574,35.900
-3353.414,-274.100
-3363.166,-1934.100
-3067.202,-2170.700
-3097.968,-2205.700
-3084.386,-2195.700
-3093.694,-1800.700
-3183.986,-1850.700
-3197.583,-1835.700
-3188.695,-1840.700
-3263.023,-1683.200
-3340.998,-1705.700
-3336.999,-1455.700
-3462.552,-1420.700
-3499.456,-1000.700
-3660.210,-981.000
-3686.519,-924.750
-3719.211,-909.750
-3725.266,-751.850
-3739.134,-890.550
-3732.430,-960.550
-3725.807,-1063.050
-3696.937,-1210.400
-3677.732,-1195.400
-3697.266,-1192.900
-3689.350,-1313.650
-3655.518,-1706.900
-3587.728,-1806.900
-3557.574,-1846.900
-3562.930,-1806.950
-3597.543,-1849.450
-3566.691,-2012.350
-3577.356,-1997.350
-3588.728,-2105.850
-3585.999,-2045.850
-3609.014,-2150.850
-3643.480,-2035.850
-3693.244,-2110.850
-3700.410,-1775.850
-3756.830,-1915.850
-3762.895,-2398.600
-3308.710,-2726.100
-3020.359,-2803.600
-3031.558,-2833.950
-3063.141,-2828.950
-3042.877,-2863.950
-3067.935,-2853.950
-3003.431,-2858.950
-3026.055,-2858.950
-3007.913,-2868.950
-3017.196,-2593.950
-2972.520,-2008.950
-2880.951,-2211.750
-2781.725,-1614.250
-2942.377,-1579.250
-2949.125,-1446.750
-2940.143,-1376.750
-3009.862,-1439.250
-2984.265,-1644.250
-3040.051,-1855.400
-2887.484,-1887.900
-2881.217,-2052.900
-2945.729,-2152.900
-2907.752,-2832.900
-2866.230,-3001.500
-2868.352,-2954.000
-2890.131,-2999.000
-2880.233,-3224.800
-2911.509,-3184.800
-2890.131,-3179.800
-2909.592,-3149.800
-2894.990,-3159.800
-2888.538,-3159.800
-2889.087,-3033.300
-2898.813,-2993.550
-2877.879,-3081.050
-2905.965,-3106.050
-2887.670,-3785.800
-2814.686,-3735.800
-2841.204,-3654.350
-2793.665,-3759.350
-2794.719,-3773.850
-2732.867,-3793.850
-2728.460,-3828.850
-2747.712,-3783.850
-2784.215,-3781.350
-2873.346,-3716.350
-2946.027,-3188.600
-2915.477,-2971.750
-3046.464,-2966.750
-3094.990,-2972.200
-3104.097,-3037.200
-3104.793,-3072.200
-3104.879,-3019.700
-3105.712,-2967.200
-3118.514,-2942.200
-3112.274,-3097.200
-3038.301,-2892.200
-3079.403,-2709.100
-3077.309,-3009.100
-3121.593,-3019.100
-3134.875,-3234.100
-3074.993,-3319.100
-3099.500,-3324.100
-3104.776,-3339.100
-3017.114,-3270.600
-3053.330,-3225.600
-3049.687,-3270.600
-3016.278,-3185.600
-3057.155,-2610.600
-3148.630,-2518.100
-3106.983,-2521.850
-3130.263,-2511.850
-3141.744,-2486.450
-3099.038,-2424.150
-3080.664,-2474.150
-3101.104,-2419.150
-3076.221,-2509.150
-3043.578,-2529.150
-2993.895,-2794.900
-2917.328,-3085.100
-2810.252,-3010.100
-2775.908,-2895.100
-2767.020,-1967.950
-2814.374,-1965.450
-2817.819,-1949.150
-2798.830,-1749.150
-2813.036,-1794.150
-2786.113,-1794.150
-2767.454,-1831.650
-2721.003,-1878.050
-2715.933,-1870.550
-2732.327,-1940.550
-2639.975,-2000.550
-2609.467,-2866.050
-2262.332,-3704.750
-1833.550,-3722.250
-1830.142,-3756.350
-1833.318,-3716.350
-1837.784,-3786.350
-1827.446,-3766.350
-1835.740,-3771.350
-1830.528,-3681.350
-1797.013,-4166.350
-1856.338,-4244.750
-1888.421,-4417.250
-1837.517,-4372.250
-1841.285,-4347.250
-1855.943,-4529.750
-1787.778,-4444.750
-1800.980,-4422.250
-1785.377,-4462.250
-1785.683,-4460.850
-1806.156,-4473.350
-1814.398,-4458.350
-1847.318,-4423.350
-1873.202,-4808.350
-1879.271,-4830.850
-1888.169,-4910.850
-1880.686,-4870.850
-1895.901,-4930.850
-1940.387,-4979.950
-1906.899,-5049.950
-1933.964,-5122.450
-1862.420,-4979.950
-1866.333,-4939.950
-1920.414,-4884.950
-1874.367,-4509.950
-1944.046,-4126.100
-1922.494,-4128.600
-1861.982,-4208.600
-1854.086,-4705.950
-1840.977,-4743.450
-1840.878,-4735.350
-1866.849,-4837.850
-1871.214,-4797.850
-1884.521,-4807.850
-1884.386,-4812.850
-1895.064,-4785.050
-1929.884,-4745.050
-1919.354,-4770.050
-2017.545,-4695.050
-1980.320,-3697.800
-1779.581,-2905.950
-1882.928,-2975.900
-1844.462,-2931.350
-1867.894,-2966.350
-1858.143,-3031.350
-1831.690,-3066.350
-1839.400,-3031.350
-1842.540,-3038.900
-1819.643,-3247.900
-1759.498,-3090.200
-1697.432,-3277.700
-1616.894,-3297.700
-1597.877,-3313.100
-1588.999,-3313.100
-1524.680,-3380.600
-1492.976,-3368.100
-1499.063,-3238.100
-1438.847,-3259.600
-1396.128,-3269.600
-1416.080,-3374.600
-1380.972,-3474.600
-1340.452,-3284.600
-1230.633,-3249.600
-1225.523,-3269.600
-1222.895,-3319.600
-1239.544,-3338.300
-1182.546,-3075.800
-1161.075,-3072.950
-1146.932,-3157.950
-1148.777,-3167.950
-1141.156,-3327.950
-1060.068,-3267.950
-1081.882,-3469.250
-1066.406,-3509.250
-1036.066,-3454.250
-1011.785,-2781.750
-1017.953,-2802.050
-977.621,-2912.050
-964.213,-2859.550
-964.186,-2869.550
-956.460,-2809.550
-973.390,-2870.950
-965.320,-2940.950
-931.276,-2775.950
-1043.329,-2790.950
-1057.019,-2969.950
-1003.167,-2302.350
-1088.237,-1847.450
-1185.530,-1843.400
-1181.344,-1718.400
-1184.032,-1603.400
-1206.710,-1573.400
-1229.104,-1555.900
-1229.406,-1565.800
-1217.147,-1548.300
-1216.553,-1260.300
-1264.830,-195.300
-1401.904,-244.900
-1403.661,-484.900
-1413.401,-494.900
-1416.960,-514.100
-1441.331,-739.100
-1342.776,-769.100
-1303.103,-804.100
-1313.546,-1004.100
-1311.871,-989.800
-1291.787,-909.800
-1275.456,-1054.800
-1277.312,-1074.800
-1285.013,-1069.800
-1271.328,-1049.800
-1256.654,-1064.300
-1238.017,-1231.800
-1252.581,-1188.000
-1252.263,-1115.500
-1299.897,-1075.500
-1284.682,-1090.500
-1254.458,-1065.500
-1301.292,-1018.650
-1301.425,-983.650
-1323.882,-1581.150
-1304.792,-1596.150
-1330.007,-1512.700
-1331.482,-1542.700
-1333.827,-1555.550
-1322.797,-1572.950
-1339.376,-1582.950
-1339.165,-1492.950
-1315.707,-1642.950
-1312.748,-1667.950
-1331.459,-8.450
-1310.185,1056.350
-1806.735,826.400
-1786.358,853.300
-1786.844,853.300
-1808.945,803.300
-1790.458,790.800
-1788.753,798.250
-1790.952,763.250
-1795.389,684.250
-1811.711,610.450
-1808.289,1185.450
-1897.464,1217.950
-1914.825,1222.550
-1902.863,1240.050
-1939.022,1293.350
-1946.360,1303.350
-1941.855,1350.550
-1965.228,1365.550
-1962.918,1378.050
-2001.869,1438.050
-1992.826,1533.050
-2058.618,1538.050
-2066.223,1588.050
-2114.304,1575.550
-2118.326,1726.800
-2137.730,1716.800
-2187.315,1789.300
-2175.965,1838.150
-2253.607,1793.150
-2203.039,1863.150
-2220.135,1718.150
-2278.532,1928.750
-2344.184,1901.250
-2407.433,1956.250
-2516.585,1993.750
-2523.470,1957.100
-2545.164,2014.600
-2601.161,2097.100
-2659.052,2125.300
-2673.206,2135.100
-2672.593,2200.100
-2680.587,2167.600
-2724.642,2167.600
-2731.636,2356.700
-3020.601,2689.300
-3024.743,2539.300
-3088.292,2533.350
-3103.069,2533.350
-3090.378,2548.350
-3133.001,2556.250
-3111.147,2591.250
-3112.719,2601.250
-3116.210,2623.750
-3128.576,2673.750
-3117.126,1433.750
-3378.732,1641.150
-3390.798,1601.150
-3432.316,1576.150
-3424.412,2026.150
-3547.693,2006.150
-3560.361,1964.550
-3543.702,2119.550
-3497.031,2034.550
-3509.327,2037.050
-3496.548,2002.050
-3482.408,1967.050
-3503.883,2002.050
-3583.389,1947.050
-3564.395,1927.050
-3569.044,1922.050
-3567.669,1929.550
-3558.156,1944.550
-3549.998,1812.050
-3521.888,1699.050
-3509.460,1679.050
-3509.055,1614.050
-3504.089,1915.050
-3498.021,1868.300
-3346.429,1825.800
-3325.296,1785.800
-3324.033,2050.800
-3228.413,2038.300
-3191.422,2040.300
-3175.258,2095.300
-3146.218,1890.300
-3124.420,1892.450
-3109.485,1930.050
-3075.606,1945.050
